B_T,H_A_per_m
0.0,0.0
0.48322891992081624,100.0
0.8853531454274924,200.0
1.1719030672632662,300.0
1.3543031737616475,400.0
1.4622193297791228,500.0
1.5233425451681946,600.0
1.5571286480463804,700.0
1.5755717469967339,800.0
1.5855897717416811,900.0
1.591035841373905,1000.0
1.5940166337582482,1100.0
1.5956726415076405,1200.0
1.5966180430827936,1300.0
1.5971826539746383,1400.0
1.5975433188022168,1500.0
1.5977947837653355,1600.0
1.5979877881069315,1700.0
1.5981494978253774,1800.0
1.5982944559060859,1900.0
1.5984304472425674,2000.0
1.5985616389583397,2100.0
1.5986902616026815,2200.0
1.598817509116566,2300.0
1.598944020574549,2400.0
1.5990701380497387,2500.0
1.599196044641003,2600.0
1.5993218383541983,2700.0
1.5994475716481067,2800.0
1.5995732726018979,2900.0
1.5996989562452706,3000.0
1.5998246306230444,3100.0
1.5999503000413,3200.0
1.600075966804917,3300.0
1.6002016321476078,3400.0
1.6003272967297322,3500.0
1.6004529609047542,3600.0
1.6005786248618707,3700.0
1.6007042887023504,3800.0
1.600829952480399,3900.0
1.6009556162250302,4000.0
1.601081279951775,4100.0
1.6012069436689453,4200.0
1.6013326073809915,4300.0
1.6014582710902945,4400.0
1.6015839347981289,4500.0
1.6017095985051777,4600.0
1.6018352622118057,4700.0
1.6019609259182086,4800.0
1.6020865896244911,4900.0
1.602212253330709,5000.0
1.602337917036892,5100.0
1.6024635807430572,5200.0
1.6025892444492122,5300.0
1.602714908155362,5400.0
1.6028405718615086,5500.0
1.602966235567654,5600.0
1.6030918992737986,5700.0
1.6032175629799428,5800.0
1.6033432266860865,5900.0
1.60346889039223,6000.0
1.603594554098374,6100.0
1.6037202178045176,6200.0
1.6038458815106613,6300.0
1.6039715452168049,6400.0
1.6040972089229484,6500.0
1.604222872629092,6600.0
1.6043485363352357,6700.0
1.6044742000413792,6800.0
1.6045998637475227,6900.0
1.6047255274536665,7000.0
1.60485119115981,7100.0
1.6049768548659535,7200.0
1.605102518572097,7300.0
1.6052281822782408,7400.0
1.6053538459843844,7500.0
1.6054795096905279,7600.0
1.6056051733966714,7700.0
1.6057308371028152,7800.0
1.6058565008089587,7900.0
1.6059821645151022,8000.0
1.606107828221246,8100.0
1.6062334919273895,8200.0
1.606359155633533,8300.0
1.6064848193396766,8400.0
1.6066104830458203,8500.0
1.6067361467519639,8600.0
1.6068618104581074,8700.0
1.6069874741642511,8800.0
1.6071131378703947,8900.0
1.6072388015765382,9000.0
1.6073644652826817,9100.0
1.6074901289888255,9200.0
1.607615792694969,9300.0
1.6077414564011125,9400.0
1.607867120107256,9500.0
1.6079927838133998,9600.0
1.6081184475195434,9700.0
1.608244111225687,9800.0
1.6083697749318306,9900.0
1.6084954386379742,10000.0
1.6086211023441177,10100.0
1.6087467660502612,10200.0
1.608872429756405,10300.0
1.6089980934625485,10400.0
1.609123757168692,10500.0
1.6092494208748356,10600.0
1.6093750845809793,10700.0
1.6095007482871229,10800.0
1.6096264119932664,10900.0
1.6097520756994101,11000.0
1.6098777394055537,11100.0
1.6100034031116972,11200.0
1.6101290668178407,11300.0
1.6102547305239845,11400.0
1.610380394230128,11500.0
1.6105060579362716,11600.0
1.610631721642415,11700.0
1.6107573853485588,11800.0
1.6108830490547024,11900.0
1.611008712760846,12000.0
1.6111343764669896,12100.0
1.6112600401731332,12200.0
1.6113857038792767,12300.0
1.6115113675854202,12400.0
1.611637031291564,12500.0
1.6117626949977075,12600.0
1.611888358703851,12700.0
1.6120140224099948,12800.0
1.6121396861161383,12900.0
1.6122653498222819,13000.0
1.6123910135284254,13100.0
1.6125166772345692,13200.0
1.6126423409407127,13300.0
1.6127680046468562,13400.0
1.6128936683529997,13500.0
1.6130193320591435,13600.0
1.613144995765287,13700.0
1.6132706594714306,13800.0
1.6133963231775743,13900.0
1.6135219868837178,14000.0
1.6136476505898614,14100.0
1.613773314296005,14200.0
1.6138989780021487,14300.0
1.6140246417082922,14400.0
1.6141503054144357,14500.0
1.6142759691205792,14600.0
1.614401632826723,14700.0
1.6145272965328665,14800.0
1.61465296023901,14900.0
1.6147786239451538,15000.0
1.6149042876512973,15100.0
1.6150299513574409,15200.0
1.6151556150635844,15300.0
1.6152812787697282,15400.0
1.6154069424758717,15500.0
1.6155326061820152,15600.0
1.6156582698881587,15700.0
1.6157839335943025,15800.0
1.615909597300446,15900.0
1.6160352610065896,16000.0
1.6161609247127333,16100.0
1.6162865884188768,16200.0
1.6164122521250204,16300.0
1.616537915831164,16400.0
1.6166635795373077,16500.0
1.6167892432434512,16600.0
1.6169149069495947,16700.0
1.6170405706557385,16800.0
1.617166234361882,16900.0
1.6172918980680255,17000.0
1.617417561774169,17100.0
1.6175432254803128,17200.0
1.6176688891864563,17300.0
1.6177945528925999,17400.0
1.6179202165987434,17500.0
1.6180458803048872,17600.0
1.6181715440110307,17700.0
1.6182972077171742,17800.0
1.618422871423318,17900.0
1.6185485351294615,18000.0
1.618674198835605,18100.0
1.6187998625417486,18200.0
1.6189255262478923,18300.0
1.6190511899540359,18400.0
1.6191768536601794,18500.0
1.619302517366323,18600.0
1.6194281810724667,18700.0
1.6195538447786102,18800.0
1.6196795084847537,18900.0
1.6198051721908975,19000.0
1.619930835897041,19100.0
1.6200564996031845,19200.0
1.620182163309328,19300.0
1.6203078270154718,19400.0
1.6204334907216154,19500.0
1.6205591544277589,19600.0
1.6206848181339024,19700.0
1.6208104818400462,19800.0
1.6209361455461897,19900.0
1.6210618092523332,20000.0
1.621187472958477,20100.0
1.6213131366646205,20200.0
1.621438800370764,20300.0
1.6215644640769076,20400.0
1.6216901277830513,20500.0
1.6218157914891949,20600.0
1.6219414551953384,20700.0
1.6220671189014821,20800.0
1.6221927826076257,20900.0
1.6223184463137692,21000.0
1.6224441100199127,21100.0
1.6225697737260565,21200.0
1.6226954374322,21300.0
1.6228211011383435,21400.0
1.622946764844487,21500.0
1.6230724285506308,21600.0
1.6231980922567744,21700.0
1.623323755962918,21800.0
1.6234494196690616,21900.0
1.6235750833752052,22000.0
1.6237007470813487,22100.0
1.6238264107874922,22200.0
1.623952074493636,22300.0
1.6240777381997795,22400.0
1.624203401905923,22500.0
1.6243290656120666,22600.0
1.6244547293182103,22700.0
1.6245803930243539,22800.0
1.6247060567304974,22900.0
1.6248317204366411,23000.0
1.6249573841427847,23100.0
1.6250830478489282,23200.0
1.6252087115550717,23300.0
1.6253343752612155,23400.0
1.625460038967359,23500.0
1.6255857026735026,23600.0
1.6257113663796463,23700.0
1.6258370300857898,23800.0
1.6259626937919334,23900.0
1.626088357498077,24000.0
1.6262140212042206,24100.0
1.6263396849103642,24200.0
1.6264653486165077,24300.0
1.6265910123226512,24400.0
1.626716676028795,24500.0
1.6268423397349385,24600.0
1.626968003441082,24700.0
1.6270936671472258,24800.0
1.6272193308533693,24900.0
1.6273449945595129,25000.0
1.6274706582656564,25100.0
1.6275963219718002,25200.0
1.6277219856779437,25300.0
1.6278476493840872,25400.0
1.6279733130902307,25500.0
1.6280989767963745,25600.0
1.628224640502518,25700.0
1.6283503042086616,25800.0
1.6284759679148053,25900.0
1.6286016316209488,26000.0
1.6287272953270924,26100.0
1.628852959033236,26200.0
1.6289786227393797,26300.0
1.6291042864455232,26400.0
1.6292299501516667,26500.0
1.6293556138578102,26600.0
1.629481277563954,26700.0
1.6296069412700975,26800.0
1.629732604976241,26900.0
1.6298582686823848,27000.0
1.6299839323885283,27100.0
1.6301095960946719,27200.0
1.6302352598008154,27300.0
1.6303609235069592,27400.0
1.6304865872131027,27500.0
1.6306122509192462,27600.0
1.63073791462539,27700.0
1.6308635783315335,27800.0
1.630989242037677,27900.0
1.6311149057438206,28000.0
1.6312405694499643,28100.0
1.6313662331561078,28200.0
1.6314918968622514,28300.0
1.631617560568395,28400.0
1.6317432242745387,28500.0
1.6318688879806822,28600.0
1.6319945516868257,28700.0
1.6321202153929695,28800.0
1.632245879099113,28900.0
1.6323715428052565,29000.0
1.6324972065114,29100.0
1.6326228702175438,29200.0
1.6327485339236874,29300.0
1.6328741976298309,29400.0
1.6329998613359744,29500.0
1.6331255250421182,29600.0
1.6332511887482617,29700.0
1.6333768524544052,29800.0
1.633502516160549,29900.0
1.6336281798666925,30000.0
1.633753843572836,30100.0
1.6338795072789796,30200.0
1.6340051709851233,30300.0
1.6341308346912669,30400.0
1.6342564983974104,30500.0
1.634382162103554,30600.0
1.6345078258096977,30700.0
1.6346334895158412,30800.0
1.6347591532219847,30900.0
1.6348848169281285,31000.0
1.635010480634272,31100.0
1.6351361443404155,31200.0
1.635261808046559,31300.0
1.6353874717527028,31400.0
1.6355131354588464,31500.0
1.6356387991649899,31600.0
1.6357644628711336,31700.0
1.6358901265772772,31800.0
1.6360157902834207,31900.0
1.6361414539895642,32000.0
1.636267117695708,32100.0
1.6363927814018515,32200.0
1.636518445107995,32300.0
1.6366441088141386,32400.0
1.6367697725202823,32500.0
1.6368954362264259,32600.0
1.6370210999325694,32700.0
1.6371467636387131,32800.0
1.6372724273448567,32900.0
1.6373980910510002,33000.0
1.6375237547571437,33100.0
1.6376494184632875,33200.0
1.637775082169431,33300.0
1.6379007458755745,33400.0
1.638026409581718,33500.0
1.6381520732878618,33600.0
1.6382777369940054,33700.0
1.638403400700149,33800.0
1.6385290644062926,33900.0
1.6386547281124362,34000.0
1.6387803918185797,34100.0
1.6389060555247232,34200.0
1.639031719230867,34300.0
1.6391573829370105,34400.0
1.639283046643154,34500.0
1.6394087103492978,34600.0
1.6395343740554413,34700.0
1.6396600377615849,34800.0
1.6397857014677284,34900.0
1.6399113651738721,35000.0
1.6400370288800157,35100.0
1.6401626925861592,35200.0
1.6402883562923027,35300.0
1.6404140199984465,35400.0
1.64053968370459,35500.0
1.6406653474107336,35600.0
1.6407910111168773,35700.0
1.6409166748230208,35800.0
1.6410423385291644,35900.0
1.641168002235308,36000.0
1.6412936659414517,36100.0
1.6414193296475952,36200.0
1.6415449933537387,36300.0
1.6416706570598822,36400.0
1.641796320766026,36500.0
1.6419219844721695,36600.0
1.642047648178313,36700.0
1.6421733118844568,36800.0
1.6422989755906003,36900.0
1.6424246392967439,37000.0
1.6425503030028874,37100.0
1.6426759667090312,37200.0
1.6428016304151747,37300.0
1.6429272941213182,37400.0
1.6430529578274617,37500.0
1.6431786215336055,37600.0
1.643304285239749,37700.0
1.6434299489458926,37800.0
1.6435556126520363,37900.0
1.6436812763581798,38000.0
1.6438069400643234,38100.0
1.643932603770467,38200.0
1.6440582674766107,38300.0
1.6441839311827542,38400.0
1.6443095948888977,38500.0
1.6444352585950415,38600.0
1.644560922301185,38700.0
1.6446865860073285,38800.0
1.644812249713472,38900.0
1.6449379134196158,39000.0
1.6450635771257593,39100.0
