B_T,H_A_per_m
0.0,0.0
0.14729458917835672,100.20040080160321
0.29458917835671344,200.40080160320642
0.44188376753507014,300.6012024048096
0.5891783567134269,400.80160320641284
0.7364729458917836,501.00200400801606
0.8837675350701403,601.2024048096192
1.031062124248497,701.4028056112224
1.1783567134268538,801.6032064128257
1.3256513026052104,901.8036072144289
1.4701336005344021,1002.0040080160321
1.476813627254509,1102.2044088176353
1.483493653974616,1202.4048096192384
1.4901736806947228,1302.6052104208418
1.4968537074148296,1402.805611222445
1.5035337341349366,1503.0060120240482
1.5102137608550434,1603.2064128256513
1.5168937875751503,1703.4068136272545
1.5235738142952573,1803.6072144288578
1.530253841015364,1903.807615230461
1.536933867735471,2004.0080160320642
1.543613894455578,2104.2084168336673
1.5502939211756848,2204.4088176352707
1.5569739478957916,2304.609218436874
1.5636539746158986,2404.809619238477
1.5701803607214428,2505.0100200400802
1.5737875751503008,2605.2104208416836
1.5773947895791585,2705.4108216432865
1.5810020040080162,2805.61122244489
1.5846092184368739,2905.811623246493
1.5882164328657316,3006.0120240480965
1.5918236472945893,3106.2124248496993
1.595430861723447,3206.4128256513027
1.5990380761523046,3306.613226452906
1.6026452905811623,3406.813627254509
1.60625250501002,3507.0140280561122
1.6098597194388777,3607.2144288577156
1.6134669338677354,3707.414829659319
1.6170741482965931,3807.615230460922
1.6206813627254508,3907.815631262525
1.6242885771543085,4008.0160320641285
1.6278957915831662,4108.216432865732
1.631503006012024,4208.416833667335
1.6351102204408816,4308.617234468938
1.6387174348697395,4408.817635270541
1.6423246492985972,4509.018036072144
1.645931863727455,4609.218436873748
1.6495390781563126,4709.418837675351
1.6531462925851703,4809.619238476954
1.656753507014028,4909.819639278558
1.6602404809619238,5010.0200400801605
1.6626452905811622,5110.220440881763
1.6650501002004008,5210.420841683367
1.6674549098196392,5310.62124248497
1.6698597194388778,5410.821643286573
1.6722645290581162,5511.022044088177
1.6746693386773546,5611.22244488978
1.6770741482965932,5711.4228456913825
1.6794789579158316,5811.623246492986
1.6818837675350702,5911.823647294589
1.6842885771543086,6012.024048096193
1.686693386773547,6112.224448897796
1.6890981963927856,6212.424849699399
1.691503006012024,6312.6252505010025
1.6939078156312626,6412.825651302605
1.696312625250501,6513.026052104208
1.6987174348697394,6613.226452905812
1.701122244488978,6713.426853707415
1.7035270541082164,6813.627254509018
1.705931863727455,6913.827655310622
1.7083366733466934,7014.0280561122245
1.7107414829659318,7114.228456913828
1.7131462925851704,7214.428857715431
1.7155511022044088,7314.629258517034
1.7179559118236474,7414.829659318638
1.7203607214428858,7515.030060120241
1.7227655310621242,7615.230460921844
1.7251703406813628,7715.430861723447
1.7275751503006012,7815.63126252505
1.7299799599198398,7915.831663326653
1.7323847695390782,8016.032064128257
1.7347895791583166,8116.23246492986
1.7371943887775552,8216.432865731464
1.7395991983967936,8316.633266533066
1.742004008016032,8416.83366733467
1.7444088176352706,8517.034068136272
1.746813627254509,8617.234468937875
1.7492184368737476,8717.43486973948
1.751623246492986,8817.635270541083
1.7540280561122246,8917.835671342686
1.756432865731463,9018.036072144288
1.7588376753507013,9118.236472945891
1.76124248496994,9218.436873747496
1.7636472945891783,9318.637274549099
1.7660521042084167,9418.837675350702
1.7684569138276554,9519.038076152305
1.7708617234468937,9619.238476953908
1.7732665330661324,9719.43887775551
1.7756713426853707,9819.639278557115
1.7780761523046094,9919.839679358718
1.7801102204408819,10020.040080160321
1.7806613226452905,10120.240480961924
1.7812124248496994,10220.440881763527
1.7817635270541083,10320.641282565131
1.782314629258517,10420.841683366734
1.782865731462926,10521.042084168337
1.7834168336673346,10621.24248496994
1.7839679358717435,10721.442885771543
1.7845190380761524,10821.643286573146
1.785070140280561,10921.84368737475
1.78562124248497,11022.044088176353
1.7861723446893787,11122.244488977956
1.7867234468937876,11222.44488977956
1.7872745490981965,11322.645290581162
1.7878256513026052,11422.845691382765
1.788376753507014,11523.04609218437
1.7889278557114228,11623.246492985973
1.7894789579158317,11723.446893787575
1.7900300601202406,11823.647294589178
1.7905811623246493,11923.847695390781
1.7911322645290582,12024.048096192386
1.791683366733467,12124.248496993989
1.7922344689378757,12224.448897795592
1.7927855711422847,12324.649298597195
1.7933366733466933,12424.849699398797
1.7938877755511022,12525.0501002004
1.7944388777555111,12625.250501002005
1.7949899799599198,12725.450901803608
1.7955410821643287,12825.65130260521
1.7960921843687374,12925.851703406814
1.7966432865731463,13026.052104208416
1.7971943887775552,13126.252505010021
1.797745490981964,13226.452905811624
1.7982965931863728,13326.653306613227
1.7988476953907815,13426.85370741483
1.7993987975951904,13527.054108216433
1.7999498997995993,13627.254509018036
1.800501002004008,13727.45490981964
1.8010521042084169,13827.655310621243
1.8016032064128256,13927.855711422846
1.8021543086172345,14028.056112224449
1.8027054108216434,14128.256513026052
1.803256513026052,14228.456913827657
1.803807615230461,14328.65731462926
1.8043587174348699,14428.857715430862
1.8049098196392785,14529.058116232465
1.8054609218436874,14629.258517034068
1.8060120240480961,14729.458917835671
1.806563126252505,14829.659318637276
1.807114228456914,14929.859719438879
1.8076653306613226,15030.060120240481
1.8082164328657315,15130.260521042084
1.8087675350701402,15230.460921843687
1.8093186372745491,15330.66132264529
1.809869739478958,15430.861723446895
1.8104208416833667,15531.062124248498
1.8109719438877756,15631.2625250501
1.8115230460921843,15731.462925851703
1.8120741482965932,15831.663326653306
1.812625250501002,15931.863727454911
1.8131763527054108,16032.064128256514
1.8137274549098197,16132.264529058117
1.8142785571142286,16232.46492985972
1.8148296593186373,16332.665330661323
1.8153807615230462,16432.865731462927
